year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
1989,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,2,2nd year ley treatment,grass ley with N,Ln2,Climax timothy; meadow fescue,9.000,*
1990,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,3,3rd year ley treatment,grass ley with N,Ln3,Climax timothy; meadow fescue,9.000,*
1991,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,4,4th year ley treatment,grass ley with N,Ln4,Climax timothy; meadow fescue,9.000,*
1992,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,5,5th year ley treatment,grass ley with N,Ln5,Climax timothy; meadow fescue,9.000,*
1993,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,6,6th year ley treatment,grass ley with N,Ln6,Climax timothy; meadow fescue,9.000,*
1994,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,7,7th year ley treatment,grass ley with N,Ln7,Climax timothy; meadow fescue,9.000,*
1995,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,8,8th year ley treatment,grass ley with N,Ln8,Climax timothy; meadow fescue,9.000,*
1996,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,9,1st test crop,winter wheat,W,Mercia,*,*
1997,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,10,2nd test crop,winter rye,R,Amando,*,*
1998,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,1,1st year ley treatment,grass ley with N,Ln1,Erecta RVP timothy; Stella meadow fescue,9.000,*
1999,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,2,2nd year ley treatment,grass ley with N,Ln2,Erecta RVP timothy; Stella meadow fescue,9.000,*
2000,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,3,3rd year ley treatment,grass ley with N,Ln3,Erecta RVP timothy; Stella meadow fescue,9.000,*
2001,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,4,4th year ley treatment,grass ley with N,Ln4,Erecta RVP timothy; Stella meadow fescue,9.000,*
2002,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,5,5th year ley treatment,grass ley with N,Ln5,Erecta RVP timothy; Stella meadow fescue,9.000,*
2003,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,6,6th year ley treatment,grass ley with N,Ln6,Erecta RVP timothy; Stella meadow fescue,9.000,*
2004,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,7,7th year ley treatment,grass ley with N,Ln7,Erecta RVP timothy; Stella meadow fescue,9.000,*
2005,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,8,8th year ley treatment,grass ley with N,Ln8,Erecta RVP timothy; Stella meadow fescue,9.000,*
2006,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,9,1st test crop,winter wheat,W,Hereward,*,*
2007,3,37,none,8-yr grass with N ley-arable,LLn8_2nd_cycle,10,2nd test crop,winter rye,R,Hacada,*,*
2008,3,37,none,3 year grass with N ley-arable after 8 year grass leys,LLn/Ln3,1,1st year ley treatment,grass ley with N,Ln1,Promesse timothy; Laura meadow fescue,*,21
2009,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,2,2nd year ley treatment,grass ley with N,Ln2,Promesse timothy; Laura meadow fescue,10.000,*
2010,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,3,3rd year ley treatment,grass ley with N,Ln3,Promesse timothy; Laura meadow fescue,10.000,*
2011,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,4,1st test crop,winter wheat,W,Glasgow,*,*
2012,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,5,2nd test crop,winter rye,R,Humbolt,*,*
2013,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,1,1st year ley treatment,grass ley with N,Ln1,Promesse timothy; Laura meadow fescue,10.000,*
2014,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,2,2nd year ley treatment,grass ley with N,Ln2,Promesse timothy; Laura meadow fescue,10.000,*
2015,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,3,3rd year ley treatment,grass ley with N,Ln3,Promesse timothy; Laura meadow fescue,10.000,*
2016,3,37,none,3-yr grass with N ley-arable after 8-yr grass leys,LLn/Ln3,4,1st test crop,winter wheat,W,Solstice,*,*
